GRAPH_NAME,GRAPH_URL,KERNEL,THREADS,MAX_ITERS,TOLERANCE,ANALYSIS_TYPE,DISABLE_HYPERTHREADING,LOGS_GAPBS
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,performance-snapshot,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,performance-snapshot,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,hotspots,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,hotspots,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,hpc-performance,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,1,50,1e-5,hpc-performance,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,performance-snapshot,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,performance-snapshot,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,hotspots,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,hotspots,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,hpc-performance,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,4,50,1e-5,hpc-performance,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,performance-snapshot,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,performance-snapshot,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,hotspots,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,hotspots,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,hpc-performance,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,12,50,1e-5,hpc-performance,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,performance-snapshot,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,performance-snapshot,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,hotspots,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,hotspots,false,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,hpc-performance,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,pr,22,50,1e-5,hpc-performance,false,false
