Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	7.619612
1	CPU Time	213.279886
2	Effective Time	213.279886
3	Idle	0.040000
3	Poor	213.239886
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	36
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	157.203051
0	PageRankPullGS._omp_fn.0	pr	21.489914
0	pvector<float>::fill._omp_fn.2	pr	10.279276
0	CSRGraph<int, int, (bool)1>::GenIndex._omp_fn.3	pr	6.602329
0	BuilderBase<int, int, int, (bool)1>::ParallelPrefixSum._omp_fn.12	pr	4.599509
0	[Others]	N/A	13.105808
0	Effective Physical Core Utilization	32.1% (14.128 out of 44)
1	Effective Logical Core Utilization	31.9% (28.040 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	8031533
1	Collection start time	06:34:05 03/10/2025 UTC
1	Collection stop time	06:34:13 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989993
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
