Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	8.340967
1	SP GFLOPS	3.093171
1	DP GFLOPS	0.791276
1	x87 GFLOPS	0.0
1	CPI Rate	2.327978
1	Average CPU Frequency	2805297765.036609
1	Total Thread Count	36
0	Effective Physical Core Utilization	61.6% (27.120 out of 44)
1	Effective Logical Core Utilization	30.9% (27.179 out of 88)
0	Memory Bound	68.3
1	Cache Bound	44.3
1	DRAM Bound	28.8
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	38.3
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	198.000000	95.300000	51.308198	0.0
1	DRAM Single-Package, GB/sec	99.000000	66.900000	35.652939	0.0
1	QPI Outgoing, GB/sec	68.000000	52.500000	23.632751	6.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	7.8
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	2.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	90.2
1	FP Arith/Mem Rd Instr. Ratio	0.534726
1	FP Arith/Mem Wr Instr. Ratio	1.266826
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	66114275
1	Collection start time	06:36:15 03/10/2025 UTC
1	Collection stop time	06:36:24 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990001
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	99000000000.000000
