Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.486312
1	CPU Time	8.750000
2	Effective Time	8.750000
3	Idle	0.0
3	Poor	8.750000
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	36
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	6.208470
0	func@0x18e20	libgomp.so.1	0.892163
0	func@0x18c90	libgomp.so.1	0.683830
0	BuilderBase<int, int, int, (bool)1>::CountDegrees._omp_fn.10	pr	0.300000
0	func@0x16670	libgomp.so.1	0.175943
0	[Others]	N/A	0.489595
0	Effective Physical Core Utilization	21.4% (9.417 out of 44)
1	Effective Logical Core Utilization	20.9% (18.366 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	3942335
1	Collection start time	07:45:50 03/10/2025 UTC
1	Collection stop time	07:45:51 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990117
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
