Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.481150
1	CPU Time	12.870000
2	Effective Time	12.870000
3	Idle	0.0
3	Poor	12.870000
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	66
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	8.048054
0	func@0x18e20	libgomp.so.1	2.693988
0	func@0x18c90	libgomp.so.1	1.296074
0	func@0x18d90	libgomp.so.1	0.388224
0	std::istream::operator>>	libstdc++.so.6	0.111967
0	[Others]	N/A	0.331692
0	Effective Physical Core Utilization	43.1% (18.956 out of 44)
1	Effective Logical Core Utilization	32.0% (28.139 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4079521
1	Collection start time	07:57:45 03/10/2025 UTC
1	Collection stop time	07:57:46 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989698
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
