Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.873933
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.352839
1	Average CPU Frequency	2886391374.194156
1	Total Thread Count	36
0	Effective Physical Core Utilization	16.0% (7.057 out of 44)
1	Effective Logical Core Utilization	8.2% (7.204 out of 88)
0	Memory Bound	42.3
1	Cache Bound	48.5
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	176.000000	55.200000	8.169988	0.0
1	DRAM Single-Package, GB/sec	88.000000	35.500000	5.191491	0.0
1	QPI Outgoing, GB/sec	68.000000	34.700000	4.996636	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	100.0
1	FP Arith/Mem Rd Instr. Ratio	0.0
1	FP Arith/Mem Wr Instr. Ratio	0.0
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Orkut/com-Orkut.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	14549908
1	Collection start time	21:09:58 02/10/2025 UTC
1	Collection stop time	21:10:01 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990186
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	88000000000.000000
