Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	4.331285
1	SP GFLOPS	0.277054
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	0.918894
1	Average CPU Frequency	3377658613.260644
1	Total Thread Count	4
0	Effective Physical Core Utilization	5.0% (2.207 out of 44)
1	Effective Logical Core Utilization	2.5% (2.223 out of 88)
0	Memory Bound	37.5
1	Cache Bound	50.2
1	DRAM Bound	1.8
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	33.3
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	140.000000	17.300000	2.971404	0.0
1	DRAM Single-Package, GB/sec	70.000000	14.800000	2.082523	0.0
1	QPI Outgoing, GB/sec	68.000000	15.100000	1.255978	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	3.3
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	96.7
1	FP Arith/Mem Rd Instr. Ratio	0.105910
1	FP Arith/Mem Wr Instr. Ratio	0.328758
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Orkut/com-Orkut.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	12515470
1	Collection start time	04:23:40 03/10/2025 UTC
1	Collection stop time	04:23:44 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990020
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	70000000000.000000
