Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.363628
1	SP GFLOPS	1.218924
1	DP GFLOPS	0.118919
1	x87 GFLOPS	0.0
1	CPI Rate	1.226117
1	Average CPU Frequency	3585913540.897213
1	Total Thread Count	4
0	Effective Physical Core Utilization	7.3% (3.233 out of 44)
1	Effective Logical Core Utilization	3.7% (3.254 out of 88)
0	Memory Bound	41.2
1	Cache Bound	48.5
1	DRAM Bound	5.5
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	50.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	9.900000	3.734063	0.0
1	DRAM Single-Package, GB/sec	89.000000	6.700000	3.276224	0.0
1	QPI Outgoing, GB/sec	68.000000	6.000000	3.115683	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	12.9
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	1.3
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	85.8
1	FP Arith/Mem Rd Instr. Ratio	0.456608
1	FP Arith/Mem Wr Instr. Ratio	2.412800
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	11587184
1	Collection start time	16:56:00 02/10/2025 UTC
1	Collection stop time	16:56:03 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990118
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
