Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.667280
1	CPU Time	25.670000
2	Effective Time	25.670000
3	Idle	0.0
3	Poor	3.217506
3	Ok	2.888353
3	Ideal	19.564141
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	88
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	func@0x18e20	libgomp.so.1	18.434129
0	PageRankPullGS._omp_fn.1	pr	2.864007
0	func@0x18c90	libgomp.so.1	2.583282
0	BuilderBase<int, int, int, (bool)1>::CountDegrees._omp_fn.10	pr	0.766815
0	pvector<EdgePair<int, int>>::reserve._omp_fn.4	pr	0.370000
0	[Others]	N/A	0.651767
0	Effective Physical Core Utilization	45.0% (19.784 out of 44)
1	Effective Logical Core Utilization	44.4% (39.094 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-NotreDame/web-NotreDame.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4353338
1	Collection start time	19:29:31 02/10/2025 UTC
1	Collection stop time	19:29:32 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989806
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
