Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.644104
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.422680
1	Average CPU Frequency	2840493619.139240
1	Total Thread Count	44
0	Effective Physical Core Utilization	32.1% (14.133 out of 44)
1	Effective Logical Core Utilization	16.0% (14.105 out of 88)
0	Memory Bound	14.7
1	Cache Bound	20.5
1	DRAM Bound	1.9
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	178.000000	17.900000	5.030244	0.0
1	DRAM Single-Package, GB/sec	89.000000	15.400000	4.781837	0.0
1	QPI Outgoing, GB/sec	68.000000	11.100000	3.291394	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	100.0
1	FP Arith/Mem Rd Instr. Ratio	0.0
1	FP Arith/Mem Wr Instr. Ratio	0.0
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-NotreDame/web-NotreDame.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	7837908
1	Collection start time	19:19:22 02/10/2025 UTC
1	Collection stop time	19:19:23 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990156
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	89000000000.000000
