Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	3.439748
1	SP GFLOPS	0.523295
1	DP GFLOPS	0.029072
1	x87 GFLOPS	0.0
1	CPI Rate	0.885206
1	Average CPU Frequency	3595506020.261194
1	Total Thread Count	1
0	Effective Physical Core Utilization	2.2% (0.974 out of 44)
1	Effective Logical Core Utilization	1.1% (0.974 out of 88)
0	Memory Bound	29.9
1	Cache Bound	42.3
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	166.000000	1.200000	0.0	0.0
1	DRAM Single-Package, GB/sec	83.000000	0.800000	0.0	0.0
1	QPI Outgoing, GB/sec	68.000000	0.500000	0.0	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	14.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.8
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	85.3
1	FP Arith/Mem Rd Instr. Ratio	0.418490
1	FP Arith/Mem Wr Instr. Ratio	2.499929
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Stanford/web-Stanford.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	7994747
1	Collection start time	01:59:19 05/10/2025 UTC
1	Collection stop time	01:59:22 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989985
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	83000000000.000000
