GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,ANALYSIS_TYPE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,ELAPSED_TIME,SPEEDUP,PARALLEL_EFFICIENCY,SEQUENTIAL_TIME
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,performance-snapshot,True,spread,True,8.2657748,1.0,1.0,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,performance-snapshot,False,spread,True,8.213849199999999,1.0,1.0,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,hotspots,True,spread,True,8.904849200000001,1.0,1.0,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,hotspots,False,spread,True,8.274749,1.0,1.0,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,hpc-performance,True,spread,True,8.396483,1.0,1.0,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-06,hpc-performance,False,spread,True,8.544259,1.0,1.0,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,performance-snapshot,True,spread,True,3.3821984,2.4439059518211588,0.6109764879552897,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,performance-snapshot,False,spread,True,3.3409304,2.458551426273352,0.6146378565683379,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,hotspots,True,spread,True,3.484567,2.5555109716644853,0.6388777429161213,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,hotspots,False,spread,True,3.4329418000000005,2.4103959467066987,0.6025989866766747,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,hpc-performance,True,spread,True,3.4433788,2.438443019977936,0.6096107549944839,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-06,hpc-performance,False,spread,True,3.4199928,2.498326604664197,0.6245816511660492,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,performance-snapshot,True,spread,True,1.8182806,4.545929159668756,0.3788274299723962,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,performance-snapshot,False,spread,True,1.7873832,4.595460671220362,0.3829550559350301,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,hotspots,True,spread,True,1.9400596,4.589987441622927,0.3824989534685772,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,hotspots,False,spread,True,1.89338,4.370358301027792,0.3641965250856493,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,hpc-performance,True,spread,True,1.895182,4.430436232509596,0.3692030193757996,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-06,hpc-performance,False,spread,True,1.8702074,4.568615758872519,0.3807179799060432,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,performance-snapshot,True,spread,True,1.480398,5.58348146917248,0.2537946122351127,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,performance-snapshot,False,spread,True,1.4507689999999998,5.661720921800783,0.2573509509909447,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,hotspots,True,spread,True,1.5763246,5.649121507080459,0.256778250321839,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,hotspots,False,spread,True,1.5641208,5.290351614785763,0.2404705279448074,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,hpc-performance,True,spread,True,1.5752806,5.330150704579236,0.2422795774808743,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-06,hpc-performance,False,spread,True,1.5739186,5.428653680056898,0.2467569854571317,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,performance-snapshot,True,spread,True,1.328836,6.22031221309477,0.2221540076105274,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,performance-snapshot,False,spread,True,1.3231860000000002,6.207630068637362,0.2217010738799057,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,hotspots,True,spread,True,1.4214870000000002,6.264460526195456,0.2237307330784091,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,hotspots,False,spread,True,1.3995484,5.912442184921936,0.2111586494614977,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,hpc-performance,True,spread,True,1.4690022,5.715772923961584,0.2041347472843423,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-06,hpc-performance,False,spread,True,1.4617454,5.84524432230127,0.2087587257964739,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,performance-snapshot,True,spread,True,1.2906962,6.4041211247077365,0.1778922534641037,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,performance-snapshot,False,spread,True,1.2773514,6.4303755411392665,0.178621542809424,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,hotspots,True,spread,True,1.3948762,6.383970993268077,0.1773325275907799,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,hotspots,False,spread,True,1.3815161999999996,5.989614164495503,0.1663781712359862,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,hpc-performance,True,spread,True,1.4740201999999998,5.696314745211769,0.1582309651447713,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-06,hpc-performance,False,spread,True,1.4623822,5.8426989879937,0.1622971941109361,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,performance-snapshot,True,spread,True,1.314352,6.288859301009167,0.142928620477481,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,performance-snapshot,False,spread,True,1.2848478,6.392857737702472,0.1452922213114198,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,hotspots,True,spread,True,1.4949776,5.95651011760979,0.135375229945677,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,hotspots,False,spread,True,1.3803992,5.994460877693931,0.1362377472203166,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,hpc-performance,True,spread,True,1.5342128,5.472828150045418,0.1243824579555776,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-06,hpc-performance,False,spread,True,1.5244828,5.604693604939328,0.1273794001122574,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,performance-snapshot,True,spread,True,1.3712452000000002,6.027933443267477,0.091332324897992,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,performance-snapshot,False,spread,True,1.2247494,6.706554989943247,0.1016144695445946,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,hotspots,True,spread,True,1.4968042,5.949241189996662,0.0901400180302524,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,hotspots,False,spread,True,1.3797634,5.997223147098988,0.0908670173802876,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,hpc-performance,True,spread,True,1.7223509999999995,4.875012700663223,0.0738638287979276,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-06,hpc-performance,False,spread,True,1.5646604,5.460775386147691,0.0827390210022377,8.544259
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,performance-snapshot,True,spread,True,1.399661,5.905554845066056,0.0671085777848415,8.2657748
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,performance-snapshot,False,spread,True,1.2432633999999998,6.606684633360879,0.0750759617427372,8.213849199999999
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,hotspots,True,spread,True,1.7092138,5.209909491720698,0.0592035169513715,8.904849200000001
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,hotspots,False,spread,True,1.3889078,5.957738159437222,0.0677015699936047,8.274749
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,hpc-performance,True,spread,True,1.8797744,4.466750371746737,0.0507585269516674,8.396483
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-06,hpc-performance,False,spread,True,1.6745762,5.102341117710857,0.0579811490648961,8.544259
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,performance-snapshot,True,spread,True,6.498568200000001,1.0,1.0,6.498568200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,performance-snapshot,False,spread,True,6.3683414,1.0,1.0,6.3683414
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,hotspots,True,spread,True,6.483610400000001,1.0,1.0,6.483610400000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,hotspots,False,spread,True,6.453183200000001,1.0,1.0,6.453183200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,hpc-performance,True,spread,True,6.452353199999999,1.0,1.0,6.452353199999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-06,hpc-performance,False,spread,True,6.450862599999999,1.0,1.0,6.450862599999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,performance-snapshot,True,spread,True,2.6316284000000003,2.469409510856472,0.617352377714118,6.498568200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,performance-snapshot,False,spread,True,2.5932352,2.4557515646864583,0.6139378911716146,6.3683414
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,hotspots,True,spread,True,2.7218054,2.3820991757897167,0.5955247939474292,6.483610400000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,hotspots,False,spread,True,2.7140522,2.377693104060416,0.594423276015104,6.453183200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,hpc-performance,True,spread,True,2.6987042,2.39090790313366,0.5977269757834148,6.452353199999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,4,500,1e-06,hpc-performance,False,spread,True,2.6592696000000005,2.425802408300384,0.6064506020750959,6.450862599999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,performance-snapshot,True,spread,True,1.8493268,3.5140182903313795,0.2928348575276149,6.498568200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,performance-snapshot,False,spread,True,1.8097588,3.518889589043579,0.2932407990869649,6.3683414
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,hotspots,True,spread,True,1.9492802,3.3261561883201813,0.2771796823600151,6.483610400000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,hotspots,False,spread,True,2.0065074,3.216127286647436,0.2680106072206197,6.453183200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,hpc-performance,True,spread,True,1.930528,3.3422738235342866,0.2785228186278572,6.452353199999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,12,500,1e-06,hpc-performance,False,spread,True,1.8969482,3.4006530067610696,0.2833877505634224,6.450862599999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,performance-snapshot,True,spread,True,1.6987090000000002,3.825592376328141,0.17389056256037,6.498568200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,performance-snapshot,False,spread,True,1.6775758,3.796157169172326,0.1725525985987421,6.3683414
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,hotspots,True,spread,True,1.8014898,3.599026983111423,0.1635921355959738,6.483610400000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,hotspots,False,spread,True,1.7898171999999994,3.6054984833088,0.1638862946958545,6.453183200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,hpc-performance,True,spread,True,1.8341444,3.5179090588505457,0.1599049572204793,6.452353199999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,22,500,1e-06,hpc-performance,False,spread,True,1.810732,3.562571711330003,0.1619350777877274,6.450862599999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,performance-snapshot,True,spread,True,1.6759928000000002,3.877443984246234,0.1384801422945083,6.498568200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,performance-snapshot,False,spread,True,1.6550125999999998,3.847911127685675,0.1374253974173455,6.3683414
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,hotspots,True,spread,True,1.7747578000000002,3.6532367402470354,0.1304727407231084,6.483610400000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,hotspots,False,spread,True,1.7510618,3.685297229372488,0.1316177581918745,6.453183200000001
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,hpc-performance,True,spread,True,1.8252692,3.535014561139803,0.1262505200407072,6.452353199999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,28,500,1e-06,hpc-performance,False,spread,True,1.8182098,3.547919827513854,0.126711422411209,6.450862599999999
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,36,500,1e-06,performance-snapshot,True,spread,True,1.5514144,4.188802295505315,0.116355619319592,6.498568200000001
