GRAPH_NAME,GRAPH_URL,THREADS,MAX_ITERS,TOLERANCE,ANALYSIS_TYPE,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,LOGS_GAPBS,VTUNE_ENABLE
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,1,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,4,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,12,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,22,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,28,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,36,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,44,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,66,500,1e-6,hpc-performance,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,performance-snapshot,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,performance-snapshot,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,hotspots,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,hotspots,false,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,hpc-performance,true,spread,true,false
web-Google,https://snap.stanford.edu/data/web-Google.txt.gz,88,500,1e-6,hpc-performance,false,spread,true,false
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-6,performance-snapshot,true,spread,true,false
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-6,performance-snapshot,false,spread,true,false
web-BerkStan,https://snap.stanford.edu/data/web-BerkStan.txt.gz,1,500,1e-6,hotspots,true,spread,true,false
