GRAPH_NAME,THREADS,DISABLE_HYPERTHREADING,THREAD_BIND_POLICY,AVERAGE_CPU_FREQUENCY,MEMORY_BOUND,CACHE_BOUND,DRAM_BOUND,CPI_RATE,AVERAGE_CPU_FREQUENCY_STD,MEMORY_BOUND_STD,CACHE_BOUND_STD,DRAM_BOUND_STD,CPI_RATE_STD
com-Friendster,1,False,close,3596727605.1176286,33.5,13.64,17.04,0.791778,575226.7507676743,0.27386127875258076,0.3209361307176246,0.19493588689617922,0.005580537966898908
com-Friendster,1,False,spread,3596660413.0670724,28.339999999999996,10.440000000000001,11.959999999999999,0.6120816,757139.7775336568,0.2880972058177577,0.36469165057620956,0.1140175425099135,0.005357608356347107
com-Friendster,1,True,close,3596636276.050315,29.2,11.879999999999999,14.0,0.6627688,490690.95498035935,0.1581138830084187,0.30331501776206177,0.35355339059327373,0.003057771688664785
com-Friendster,1,True,spread,3596515712.312983,29.26,11.5,14.14,0.6671868,300447.5726329775,0.42190046219457944,0.5338539126015662,0.4393176527297759,0.004292842438291927
com-Friendster,4,False,close,3575788461.72079,21.56,19.56,14.959999999999999,1.148109,434769.0994397628,0.5983310120660641,0.15165750888103166,0.2880972058177588,0.020444958852978992
com-Friendster,4,False,spread,3572556300.377504,37.17999999999999,15.280000000000001,20.26,0.7299483999999999,2055447.9185071932,0.5215361924162105,0.45497252664309296,0.3646916505762092,0.006194463116364505
com-Friendster,4,True,close,3298576630.286054,33.08,13.9,19.06,0.6967064000000001,648441.051397145,0.3271085446759246,0.3937003937005907,0.4393176527297734,0.005316332175475898
com-Friendster,4,True,spread,3577450690.232746,40.62,15.959999999999999,25.080000000000002,0.849835,334943.0054691397,0.35637059362411366,0.4722287581247032,0.584807660688538,0.004217032605992036
com-Friendster,12,False,close,3101544236.6580977,19.72,22.060000000000002,12.379999999999999,1.2021184,897734.5263716,0.8348652585896711,0.5366563145999491,0.5215361924162113,0.038865125862397445
com-Friendster,12,False,spread,3089140275.344274,53.379999999999995,27.28,26.119999999999997,1.1008212,1994769.6295829902,0.719027120489901,0.38340579025361776,0.8288546314040846,0.003621271765554184
com-Friendster,12,True,close,2815503222.6603284,41.739999999999995,20.46,24.34,0.8607340000000001,207835.28846968646,0.7733045971672478,0.5856620185738537,1.08535708409721,0.0037128072263450627
com-Friendster,12,True,spread,3095967748.21557,52.08,25.660000000000004,28.72,1.1728344,408564.98778385844,0.3898717737923609,0.20736441353327723,0.46043457732885257,0.010566284626111493
com-Friendster,22,False,close,2817192154.717323,23.86,30.9,8.0,1.329553,485426.646820481,1.3957077057894298,1.872164522684906,0.2549509756796395,0.018137852243305972
com-Friendster,22,False,spread,2803781828.187903,61.760000000000005,35.64,27.419999999999998,1.5389974,360910.50099770504,0.5683308895353095,0.6542170893518438,0.3633180424917001,0.008809996157774488
com-Friendster,22,True,close,2810709613.2492065,56.46,29.96,28.919999999999998,1.3136112,611223.8649154524,0.7700649323271399,1.8063775906493083,1.7555625878902763,0.0064251231272248795
com-Friendster,22,True,spread,2809318624.0661335,62.5,34.06,31.3,1.6924347999999998,363764.9586828617,0.6041522986797291,4.252411080786994,4.287190222045203,0.033150663314630686
com-Friendster,28,False,close,2811797473.102078,31.619999999999997,40.72,5.64,1.5921692,669789.9570062035,0.5761944116355165,1.294990347454375,1.117139203501515,0.05112180641565791
com-Friendster,28,False,spread,2803777337.219228,64.26,38.92,27.74,1.843345,579559.837097318,1.3867227552759056,1.6084153692376861,1.472412985544475,0.013460059100910358
com-Friendster,28,True,close,2861786468.3739133,66.58,37.04,31.96,2.0204328,516685.33549523354,1.7224981857755335,3.069690538148757,2.4805241381611256,0.0297478116371607
com-Friendster,28,True,spread,2806558478.9060116,67.56,40.1,31.26,2.0579718,284655.22634977824,0.7127411872482178,1.816590212458497,1.2136721138759035,0.017022132436918868
com-Friendster,36,False,close,2806946534.754103,37.0,45.22,5.58,1.924859,348481.2995326056,1.7435595774162693,1.9601020381602599,1.2296340919151518,0.04414171398462006
com-Friendster,36,False,spread,2802037498.944008,69.25999999999999,45.980000000000004,26.660000000000004,2.3746098,346992.84946330683,0.3911521443121634,1.9562719647329214,2.3287335614019913,0.015785443791670947
com-Friendster,36,True,close,2804236901.687563,70.16,42.08,30.8,2.5903192,267954.0708822555,0.680441033448162,1.7977764043395372,1.5247950681976912,0.031168998439154313
com-Friendster,36,True,spread,2804842941.5222692,70.9,43.62,30.439999999999998,2.5603792,247479.80965993128,0.9407443861113379,0.7758865896508338,0.6730527468185525,0.024658629021095266
com-Friendster,44,False,close,2807001874.162194,39.58,46.8,5.46,2.301905,427222.12166452646,1.7880156598866805,3.4698703145794925,1.4825653442597393,0.04454033070712428
