Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	6.545960
1	SP GFLOPS	3.116431
1	DP GFLOPS	0.824938
1	x87 GFLOPS	0.0
1	CPI Rate	1.103111
1	Average CPU Frequency	3088884376.786157
1	Total Thread Count	12
0	Effective Physical Core Utilization	24.4% (10.730 out of 44)
1	Effective Logical Core Utilization	12.2% (10.727 out of 88)
0	Memory Bound	53.1
1	Cache Bound	27.6
1	DRAM Bound	25.8
2	DRAM Bandwidth Bound	3.1
1	NUMA: % of Remote Accesses	31.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	196.000000	116.100000	51.390476	0.0
1	DRAM Single-Package, GB/sec	98.000000	99.900000	39.563333	3.1
1	QPI Outgoing, GB/sec	68.000000	59.100000	22.413825	1.1
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	9.7
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	2.6
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	87.7
1	FP Arith/Mem Rd Instr. Ratio	0.607613
1	FP Arith/Mem Wr Instr. Ratio	1.430908
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	30912715
1	Collection start time	22:11:08 02/10/2025 UTC
1	Collection stop time	22:11:14 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990024
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	98000000000.000000
