Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	8.306324
1	SP GFLOPS	2.419847
1	DP GFLOPS	0.662147
1	x87 GFLOPS	0.0
1	CPI Rate	1.176778
1	Average CPU Frequency	3096485847.587500
1	Total Thread Count	12
0	Effective Physical Core Utilization	21.9% (9.628 out of 44)
1	Effective Logical Core Utilization	10.9% (9.631 out of 88)
0	Memory Bound	51.8
1	Cache Bound	25.4
1	DRAM Bound	28.5
2	DRAM Bandwidth Bound	9.1
1	NUMA: % of Remote Accesses	31.6
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	168.000000	116.900000	41.134924	0.0
1	DRAM Single-Package, GB/sec	84.000000	113.500000	32.958022	9.1
1	QPI Outgoing, GB/sec	68.000000	56.900000	18.188552	0.7
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	8.6
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	2.4
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	89.0
1	FP Arith/Mem Rd Instr. Ratio	0.558936
1	FP Arith/Mem Wr Instr. Ratio	1.283171
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	35996461
1	Collection start time	23:24:50 04/10/2025 UTC
1	Collection stop time	23:24:58 04/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989945
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	84000000000.000000
