Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	6.439934
1	SP GFLOPS	3.074570
1	DP GFLOPS	0.854047
1	x87 GFLOPS	0.0
1	CPI Rate	1.349610
1	Average CPU Frequency	2816521868.453135
1	Total Thread Count	22
0	Effective Physical Core Utilization	19.0% (8.345 out of 44)
1	Effective Logical Core Utilization	18.6% (16.360 out of 88)
0	Memory Bound	25.4
1	Cache Bound	33.2
1	DRAM Bound	7.8
2	DRAM Bandwidth Bound	1.6
1	NUMA: % of Remote Accesses	35.5
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	194.000000	116.900000	43.422803	0.0
1	DRAM Single-Package, GB/sec	97.000000	77.300000	28.549980	1.6
1	QPI Outgoing, GB/sec	68.000000	56.500000	18.472238	1.2
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	7.7
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	2.1
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	90.2
1	FP Arith/Mem Rd Instr. Ratio	0.512079
1	FP Arith/Mem Wr Instr. Ratio	1.174253
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Friendster/com-Friendster.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	41848431
1	Collection start time	06:18:51 03/10/2025 UTC
1	Collection stop time	06:18:58 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990076
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	97000000000.000000
