Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.202362
1	SP GFLOPS	0.415849
1	DP GFLOPS	0.083170
1	x87 GFLOPS	0.0
1	CPI Rate	0.692015
1	Average CPU Frequency	3607190686.198198
1	Total Thread Count	1
0	Effective Physical Core Utilization	2.1% (0.942 out of 44)
1	Effective Logical Core Utilization	1.0% (0.923 out of 88)
0	Memory Bound	34.3
1	Cache Bound	35.0
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	57.1
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	140.000000	9.200000	4.416308	0.0
1	DRAM Single-Package, GB/sec	70.000000	5.800000	2.228946	0.0
1	QPI Outgoing, GB/sec	68.000000	5.500000	2.661428	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	8.5
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	1.7
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	89.8
1	FP Arith/Mem Rd Instr. Ratio	0.495854
1	FP Arith/Mem Wr Instr. Ratio	1.348276
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	5827169
1	Collection start time	23:15:29 02/10/2025 UTC
1	Collection stop time	23:15:30 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989924
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	70000000000.000000
