Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.991327
1	SP GFLOPS	0.504375
1	DP GFLOPS	0.100875
1	x87 GFLOPS	0.0
1	CPI Rate	0.583170
1	Average CPU Frequency	3602181310.681319
1	Total Thread Count	1
0	Effective Physical Core Utilization	2.0% (0.896 out of 44)
1	Effective Logical Core Utilization	1.0% (0.918 out of 88)
0	Memory Bound	16.5
1	Cache Bound	21.4
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	166.000000	10.200000	5.406895	0.0
1	DRAM Single-Package, GB/sec	83.000000	10.200000	4.882345	0.0
1	QPI Outgoing, GB/sec	68.000000	1.200000	0.0	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	6.9
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	1.4
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	91.7
1	FP Arith/Mem Rd Instr. Ratio	0.472427
1	FP Arith/Mem Wr Instr. Ratio	1.318644
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	5617921
1	Collection start time	03:52:59 05/10/2025 UTC
1	Collection stop time	03:53:00 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989928
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	83000000000.000000
