Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.471710
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.183352
1	Average CPU Frequency	2850233936.645320
1	Total Thread Count	28
0	Effective Physical Core Utilization	22.7% (9.997 out of 44)
1	Effective Logical Core Utilization	9.8% (8.607 out of 88)
0	Memory Bound	25.5
1	Cache Bound	41.5
1	DRAM Bound	3.5
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	168.000000	75.100000	23.997782	0.0
1	DRAM Single-Package, GB/sec	84.000000	39.000000	12.974066	0.0
1	QPI Outgoing, GB/sec	68.000000	46.900000	14.754820	19.1
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	100.0
1	FP Arith/Mem Rd Instr. Ratio	0.0
1	FP Arith/Mem Wr Instr. Ratio	0.0
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-LiveJournal/com-LiveJournal.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	6849316
1	Collection start time	00:12:54 05/10/2025 UTC
1	Collection stop time	00:12:54 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990453
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	84000000000.000000
