Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.762090
1	CPU Time	43.439997
2	Effective Time	43.439997
3	Idle	0.0
3	Poor	9.195584
3	Ok	10.220337
3	Ideal	24.024076
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	88
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	24.599282
0	BuilderBase<int, int, int, (bool)1>::MakeCSR._omp_fn.14	pr	5.065740
0	func@0x18e20	libgomp.so.1	4.421525
0	BuilderBase<int, int, int, (bool)1>::CountDegrees._omp_fn.10	pr	2.703028
0	std::istream::operator>>	libstdc++.so.6	1.988527
0	[Others]	N/A	4.661895
0	Effective Physical Core Utilization	19.1% (8.391 out of 44)
1	Effective Logical Core Utilization	18.1% (15.945 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/com-Orkut/com-Orkut.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4872485
1	Collection start time	21:29:26 02/10/2025 UTC
1	Collection stop time	21:29:28 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990121
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
