Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.024436
1	CPU Time	11.039991
2	Effective Time	11.039991
3	Idle	0.0
3	Poor	11.039991
3	Ok	0.0
3	Ideal	0.0
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	12
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	PageRankPullGS._omp_fn.1	pr	6.579524
0	func@0x18e20	libgomp.so.1	2.416401
0	std::istream::operator>>	libstdc++.so.6	0.987990
0	func@0x18c90	libgomp.so.1	0.212070
0	func@0x17b90	libgomp.so.1	0.179979
0	[Others]	N/A	0.664027
0	Effective Physical Core Utilization	12.3% (5.403 out of 44)
1	Effective Logical Core Utilization	6.1% (5.410 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	3990727
1	Collection start time	18:00:14 02/10/2025 UTC
1	Collection stop time	18:00:16 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990023
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
