Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.789490
1	SP GFLOPS	2.458805
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.109786
1	Average CPU Frequency	2842608757.946615
1	Total Thread Count	44
0	Effective Physical Core Utilization	29.8% (13.119 out of 44)
1	Effective Logical Core Utilization	14.6% (12.875 out of 88)
0	Memory Bound	19.4
1	Cache Bound	25.8
1	DRAM Bound	3.4
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	168.000000	32.900000	6.325826	0.0
1	DRAM Single-Package, GB/sec	84.000000	21.200000	4.895251	0.0
1	QPI Outgoing, GB/sec	68.000000	22.700000	3.487028	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	6.4
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	93.6
1	FP Arith/Mem Rd Instr. Ratio	0.265693
1	FP Arith/Mem Wr Instr. Ratio	2.315723
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	13294604
1	Collection start time	01:20:37 05/10/2025 UTC
1	Collection stop time	01:20:39 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990117
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	84000000000.000000
