Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.535908
1	IPC	1.012289
1	SP GFLOPS	3.324713
1	DP GFLOPS	0.231651
1	x87 GFLOPS	0.008389
1	Average CPU Frequency	2836903176.308570
0	Effective Logical Core Utilization	14.8% (13.022 out of 88)
1	Effective Physical Core Utilization	29.6% (13.018 out of 44)
0	Microarchitecture Usage	28.2
1	Retiring	28.2
1	Front-End Bound	5.4
1	Back-End Bound	58.9
2	Memory Bound	20.0
2	Core Bound	38.9
1	Bad Speculation	7.5
0	Memory Bound	20.0
1	L1 Bound	19.8
1	L2 Bound	1.0
1	L3 Bound	1.1
1	DRAM Bound	2.6
2	DRAM Bandwidth Bound	0.0
1	Store Bound	1.2
1	NUMA: % of Remote Accesses	55.3
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	8.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.6
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	91.5
1	FP Arith/Mem Rd Instr. Ratio	0.302576
1	FP Arith/Mem Wr Instr. Ratio	2.281957
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-BerkStan/web-BerkStan.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	3634695
1	Collection start time	18:17:51 02/10/2025 UTC
1	Collection stop time	18:17:52 02/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990275
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	88000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
0	Recommendations:
1	Hotspots	Start with Hotspots analysis to understand the efficiency of your algorithm.	Use Hotspots analysis to identify the most time consuming functions. Drill down to see the time spent on every line of code.
1	Threading	There is poor utilization of logical CPU cores (14.8%) in your application. 	 Use Threading to explore more opportunities to increase parallelism in your application.
1	Microarchitecture Exploration	There is low microarchitecture usage (28.2%) of available hardware resources. 	Run Microarchitecture Exploration analysis to analyze CPU microarchitecture bottlenecks that can affect application performance.
