Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.397380
1	CPU Time	49.059999
2	Effective Time	49.059999
3	Idle	0.0
3	Poor	4.582816
3	Ok	4.287093
3	Ideal	40.190090
3	Over	0.0
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	88
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time
0	func@0x18e20	libgomp.so.1	21.593075
0	PageRankPullGS._omp_fn.1	pr	19.560325
0	func@0x18c90	libgomp.so.1	2.496338
0	PageRankPullGS._omp_fn.0	pr	0.994521
0	CSRGraph<int, int, (bool)1>::GenIndex._omp_fn.3	pr	0.856786
0	[Others]	N/A	3.558953
0	Effective Physical Core Utilization	41.4% (18.210 out of 44)
1	Effective Logical Core Utilization	40.7% (35.859 out of 88)
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	4912471
1	Collection start time	01:06:05 03/10/2025 UTC
1	Collection stop time	01:06:06 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989820
2	Logical CPU Count	88
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
