Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.815497
1	IPC	0.827708
1	SP GFLOPS	1.916950
1	DP GFLOPS	0.221373
1	x87 GFLOPS	0.004960
1	Average CPU Frequency	2826190254.662941
0	Effective Logical Core Utilization	8.8% (7.702 out of 88)
1	Effective Physical Core Utilization	17.5% (7.715 out of 44)
0	Microarchitecture Usage	15.4
1	Retiring	15.4
1	Front-End Bound	8.7
1	Back-End Bound	27.1
2	Memory Bound	18.7
2	Core Bound	8.3
1	Bad Speculation	48.8
0	Memory Bound	18.7
1	L1 Bound	21.0
1	L2 Bound	0.0
1	L3 Bound	38.3
1	DRAM Bound	5.5
2	DRAM Bandwidth Bound	0.0
1	Store Bound	1.5
1	NUMA: % of Remote Accesses	36.8
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	14.3
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	1.6
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	84.0
1	FP Arith/Mem Rd Instr. Ratio	0.072364
1	FP Arith/Mem Wr Instr. Ratio	0.197929
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Stanford/web-Stanford.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	3618115
1	Collection start time	02:22:25 05/10/2025 UTC
1	Collection stop time	02:22:26 05/10/2025 UTC
1	Collector Type	Driverless Perf per-process counting
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199989968
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	84000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
0	Recommendations:
1	Hotspots	Start with Hotspots analysis to understand the efficiency of your algorithm.	Use Hotspots analysis to identify the most time consuming functions. Drill down to see the time spent on every line of code.
1	Threading	There is poor utilization of logical CPU cores (8.8%) in your application. 	 Use Threading to explore more opportunities to increase parallelism in your application.
1	Microarchitecture Exploration	There is low microarchitecture usage (15.4%) of available hardware resources. 	Run Microarchitecture Exploration analysis to analyze CPU microarchitecture bottlenecks that can affect application performance.
